,Method,$\widehat{\beta}$,seed,label_ct
0,active (partial),0.38383838383838387,505,800.0
1,active (shifted),0.3535353535353536,505,800.0
2,active (partial+q_cv),0.38383838383838387,505,800.0
3,active (partial+cons_cv),0.393939393939394,505,800.0
4,sample everything,0.37373737373737376,505,800.0
