,Method,$\widehat{\beta}$,seed,label_ct
0,active (partial),0.38383838383838387,150,800.0
1,active (shifted),0.32323232323232326,150,800.0
2,active (full),0.37373737373737376,150,800.0
3,oblivious (partial),0.36363636363636365,150,800.0
4,sample everything,0.3434343434343435,150,800.0
