,Method,$\widehat{\beta}$
188,active (full),0.9292929292929294
189,active (full+cocob),0.9292929292929294
190,oblivious (partial),0.9595959595959597
191,sample everything,0.8989898989898991
192,active (partial),0.9494949494949496
193,active (shifted),0.8282828282828284
194,active (full),0.9393939393939394
195,active (full+cocob),0.9393939393939394
196,oblivious (partial),0.9595959595959597
197,sample everything,0.8282828282828284
198,active (partial),0.9494949494949496
199,active (shifted),0.9090909090909092
200,active (full),0.9393939393939394
201,active (full+cocob),0.9393939393939394
202,oblivious (partial),0.9595959595959597
203,sample everything,0.9090909090909092
204,active (partial),0.9393939393939394
205,active (shifted),0.9090909090909092
206,active (full),0.9393939393939394
207,active (full+cocob),0.9292929292929294
208,oblivious (partial),0.9494949494949496
209,sample everything,0.9090909090909092
210,active (partial),0.9595959595959597
211,active (shifted),0.9090909090909092
212,active (full),0.9494949494949496
213,active (full+cocob),0.9393939393939394
214,oblivious (partial),0.9696969696969697
215,sample everything,0.9191919191919192
216,active (partial),0.9292929292929294
217,active (shifted),0.8989898989898991
218,active (full),0.9393939393939394
219,active (full+cocob),0.9292929292929294
220,oblivious (partial),0.9494949494949496
221,sample everything,0.9090909090909092
222,active (partial),0.9191919191919192
223,active (shifted),0.8585858585858587
224,active (full),0.9191919191919192
225,active (full+cocob),0.9090909090909092
226,oblivious (partial),0.9393939393939394
227,sample everything,0.8585858585858587
228,active (partial),0.9191919191919192
229,active (shifted),0.888888888888889
230,active (full),0.9090909090909092
231,active (full+cocob),0.9090909090909092
232,oblivious (partial),0.9494949494949496
233,sample everything,0.8989898989898991
234,active (partial),0.9393939393939394
235,active (shifted),0.9090909090909092
236,active (full),0.9292929292929294
237,active (full+cocob),0.9292929292929294
238,oblivious (partial),0.9595959595959597
239,sample everything,0.9090909090909092
240,active (partial),0.9090909090909092
241,active (shifted),0.8585858585858587
242,active (full),0.8989898989898991
243,active (full+cocob),0.8989898989898991
244,oblivious (partial),0.9191919191919192
245,sample everything,0.8686868686868687
246,active (partial),0.9393939393939394
247,active (shifted),0.9191919191919192
248,active (full),0.9393939393939394
249,active (full+cocob),0.9393939393939394
250,oblivious (partial),0.9595959595959597
251,sample everything,0.9191919191919192
252,active (partial),0.9494949494949496
253,active (shifted),0.9292929292929294
254,active (full),0.9494949494949496
255,active (full+cocob),0.9494949494949496
256,oblivious (partial),0.9696969696969697
257,sample everything,0.9494949494949496
258,active (partial),0.9494949494949496
259,active (shifted),0.8484848484848485
260,active (full),0.9393939393939394
261,active (full+cocob),0.9393939393939394
262,oblivious (partial),0.9595959595959597
263,sample everything,0.8787878787878789
264,active (partial),0.9393939393939394
265,active (shifted),0.8989898989898991
266,active (full),0.9292929292929294
267,active (full+cocob),0.9292929292929294
268,oblivious (partial),0.9595959595959597
269,sample everything,0.8989898989898991
270,active (partial),0.9292929292929294
271,active (shifted),0.8989898989898991
272,active (full),0.9292929292929294
273,active (full+cocob),0.9292929292929294
