,Unnamed: 0,Method,$\widehat{\beta}$,seed,label_ct
0,0,active (partial),0.8585858585858587,995,2000.0
1,1,active (partial+cons_cv),0.8484848484848485,995,2000.0
2,2,active (shifted),0.8585858585858587,995,2000.0
3,3,active (full),0.8585858585858587,995,2000.0
5,5,sample everything,0.8686868686868687,995,2000.0
0,0,oblivious (partial),0.8989898989898991,995,2000.0
