,Method,$\widehat{\beta}$,seed,label_ct
0,active (partial),0.8585858585858587,968,2000.0
1,active (partial+cons_cv),0.8383838383838385,968,2000.0
2,active (shifted),0.7777777777777778,968,2000.0
3,active (full),0.8484848484848485,968,2000.0
4,oblivious (partial),0.8484848484848485,968,2000.0
5,sample everything,0.7777777777777778,968,2000.0
