,Method,$\widehat{\beta}$,seed,label_ct
0,active (partial),0.8787878787878789,46,2000.0
1,active (shifted),0.888888888888889,46,2000.0
2,active (full),0.8686868686868687,46,2000.0
3,oblivious (partial),0.888888888888889,46,2000.0
4,sample everything,0.9090909090909092,46,2000.0
