,Method,$\widehat{\beta}$,seed,label_ct
0,active (partial),0.8989898989898991,45,2000.0
1,active (partial+cons_cv),0.8686868686868687,45,2000.0
2,active (shifted),0.888888888888889,45,2000.0
3,oblivious (partial),0.8585858585858587,45,2000.0
