,Method,$\widehat{\beta}$,seed,label_ct
0,active (partial),0.37373737373737376,565,800.0
1,active (shifted),0.3434343434343435,565,800.0
2,active (partial+cons_cv),0.36363636363636365,565,800.0
3,sample everything,0.37373737373737376,565,800.0
