,Method,$\widehat{\beta}$,seed,label_ct
0,active (partial),0.43434343434343436,148,800.0
1,active (shifted),0.3434343434343435,148,800.0
2,active (partial+q_cv),0.4444444444444445,148,800.0
3,active (partial+cons_cv),0.3434343434343435,148,800.0
4,sample everything,0.36363636363636365,148,800.0
