,Method,$\widehat{\beta}$
193,oblivious (partial),0.888888888888889
194,sample everything,0.8484848484848485
195,active (partial),0.8686868686868687
196,active (shifted),0.8686868686868687
197,active (full),0.8686868686868687
198,oblivious (partial),0.888888888888889
199,sample everything,0.8686868686868687
200,active (partial),0.8686868686868687
201,active (shifted),0.8787878787878789
202,active (full),0.8686868686868687
203,oblivious (partial),0.888888888888889
204,sample everything,0.9090909090909092
205,active (partial),0.888888888888889
206,active (shifted),0.8989898989898991
207,active (full),0.888888888888889
208,oblivious (partial),0.9090909090909092
209,sample everything,0.9191919191919192
210,active (partial),0.8585858585858587
211,active (shifted),0.8686868686868687
212,active (full),0.8585858585858587
213,oblivious (partial),0.8787878787878789
214,sample everything,0.8989898989898991
215,active (partial),0.8585858585858587
216,active (shifted),0.8686868686868687
217,active (full),0.8585858585858587
218,oblivious (partial),0.8787878787878789
219,sample everything,0.8989898989898991
220,active (partial),0.8686868686868687
221,active (shifted),0.8686868686868687
222,active (full),0.8686868686868687
223,oblivious (partial),0.888888888888889
224,sample everything,0.8787878787878789
225,active (partial),0.8787878787878789
226,active (shifted),0.888888888888889
227,active (full),0.8686868686868687
228,oblivious (partial),0.888888888888889
229,sample everything,0.9090909090909092
230,active (partial),0.8585858585858587
231,active (shifted),0.8686868686868687
232,active (full),0.8585858585858587
233,oblivious (partial),0.888888888888889
234,sample everything,0.8787878787878789
235,active (partial),0.8686868686868687
236,active (shifted),0.8787878787878789
237,active (full),0.8686868686868687
238,oblivious (partial),0.8989898989898991
239,sample everything,0.9090909090909092
240,active (partial),0.8787878787878789
241,active (shifted),0.888888888888889
242,active (full),0.8686868686868687
243,oblivious (partial),0.888888888888889
244,sample everything,0.9090909090909092
245,active (partial),0.8686868686868687
246,active (shifted),0.8686868686868687
247,active (full),0.8585858585858587
248,oblivious (partial),0.8787878787878789
249,sample everything,0.8686868686868687
250,active (partial),0.8686868686868687
251,active (shifted),0.8686868686868687
252,active (full),0.8686868686868687
253,oblivious (partial),0.888888888888889
254,sample everything,0.8989898989898991
255,active (partial),0.8686868686868687
256,active (shifted),0.8787878787878789
257,active (full),0.8686868686868687
258,oblivious (partial),0.8686868686868687
259,sample everything,0.888888888888889
260,active (partial),0.8585858585858587
261,active (shifted),0.8686868686868687
262,active (full),0.8585858585858587
263,oblivious (partial),0.888888888888889
264,sample everything,0.888888888888889
265,active (partial),0.8787878787878789
266,active (shifted),0.8787878787878789
267,active (full),0.8686868686868687
268,oblivious (partial),0.888888888888889
269,sample everything,0.888888888888889
270,active (partial),0.8787878787878789
271,active (shifted),0.8787878787878789
272,active (full),0.8686868686868687
273,oblivious (partial),0.888888888888889
274,sample everything,0.888888888888889
275,active (partial),0.8686868686868687
276,active (shifted),0.8686868686868687
277,active (full),0.8686868686868687
278,oblivious (partial),0.8787878787878789
279,sample everything,0.888888888888889
280,active (partial),0.8787878787878789
281,active (shifted),0.888888888888889
282,active (full),0.8787878787878789
283,oblivious (partial),0.9090909090909092
284,sample everything,0.9292929292929294
285,active (partial),0.8686868686868687
286,active (shifted),0.8686868686868687
287,active (full),0.8686868686868687
288,oblivious (partial),0.8989898989898991
289,sample everything,0.888888888888889
290,active (partial),0.8686868686868687
291,active (shifted),0.8787878787878789
292,active (full),0.8686868686868687
293,oblivious (partial),0.888888888888889
294,sample everything,0.888888888888889
295,active (partial),0.8585858585858587
296,active (shifted),0.8686868686868687
297,active (full),0.8585858585858587
298,oblivious (partial),0.888888888888889
299,sample everything,0.8989898989898991
300,active (partial),0.8686868686868687
301,active (shifted),0.8282828282828284
302,active (full),0.8686868686868687
303,oblivious (partial),0.888888888888889
304,sample everything,0.8282828282828284
305,active (partial),0.8585858585858587
306,active (shifted),0.8787878787878789
307,active (full),0.8585858585858587
308,oblivious (partial),0.888888888888889
309,sample everything,0.9191919191919192
310,active (partial),0.8787878787878789
311,active (shifted),0.8787878787878789
312,active (full),0.8787878787878789
313,oblivious (partial),0.8989898989898991
314,sample everything,0.888888888888889
315,active (partial),0.8686868686868687
316,active (shifted),0.8787878787878789
317,active (full),0.8686868686868687
318,oblivious (partial),0.8989898989898991
319,sample everything,0.9090909090909092
320,active (partial),0.8686868686868687
321,active (shifted),0.8585858585858587
322,active (full),0.8686868686868687
323,oblivious (partial),0.8787878787878789
324,sample everything,0.8686868686868687
325,active (partial),0.8787878787878789
326,active (shifted),0.888888888888889
327,active (full),0.8787878787878789
328,oblivious (partial),0.888888888888889
329,sample everything,0.9090909090909092
330,active (partial),0.8787878787878789
331,active (shifted),0.7676767676767677
332,active (full),0.8686868686868687
333,oblivious (partial),0.9090909090909092
334,sample everything,0.7676767676767677
335,active (partial),0.888888888888889
336,active (shifted),0.8989898989898991
337,active (full),0.888888888888889
338,oblivious (partial),0.9090909090909092
339,sample everything,0.9191919191919192
340,active (partial),0.8686868686868687
341,active (shifted),0.8585858585858587
342,active (full),0.8686868686868687
343,oblivious (partial),0.8989898989898991
344,sample everything,0.8585858585858587
345,active (partial),0.888888888888889
346,active (shifted),0.888888888888889
347,active (full),0.888888888888889
348,oblivious (partial),0.8989898989898991
349,sample everything,0.888888888888889
350,active (partial),0.8787878787878789
351,active (shifted),0.888888888888889
352,active (full),0.8787878787878789
353,oblivious (partial),0.888888888888889
354,sample everything,0.8989898989898991
355,active (partial),0.8686868686868687
356,active (shifted),0.8080808080808082
357,active (full),0.8585858585858587
358,oblivious (partial),0.888888888888889
359,sample everything,0.8080808080808082
360,active (partial),0.8787878787878789
361,active (shifted),0.8787878787878789
362,active (full),0.8787878787878789
363,oblivious (partial),0.8989898989898991
364,sample everything,0.888888888888889
365,active (partial),0.8787878787878789
366,active (shifted),0.888888888888889
367,active (full),0.8787878787878789
368,oblivious (partial),0.9090909090909092
369,sample everything,0.9191919191919192
370,active (partial),0.8787878787878789
371,active (shifted),0.888888888888889
372,active (full),0.8787878787878789
373,oblivious (partial),0.9090909090909092
374,sample everything,0.9191919191919192
375,active (partial),0.8787878787878789
376,active (shifted),0.8787878787878789
377,active (full),0.8787878787878789
378,oblivious (partial),0.888888888888889
379,sample everything,0.8989898989898991
380,active (partial),0.8787878787878789
381,active (shifted),0.888888888888889
382,active (full),0.8686868686868687
383,oblivious (partial),0.8989898989898991
384,sample everything,0.9090909090909092
385,active (partial),0.8686868686868687
386,active (shifted),0.8383838383838385
387,active (full),0.8686868686868687
388,oblivious (partial),0.8787878787878789
389,sample everything,0.8383838383838385
390,active (partial),0.8686868686868687
391,active (shifted),0.8686868686868687
392,active (full),0.8686868686868687
393,oblivious (partial),0.888888888888889
394,sample everything,0.8686868686868687
395,active (partial),0.8686868686868687
396,active (shifted),0.888888888888889
397,active (full),0.8686868686868687
398,oblivious (partial),0.888888888888889
399,sample everything,0.9090909090909092
400,active (partial),0.8585858585858587
401,active (shifted),0.8787878787878789
402,active (full),0.8585858585858587
403,oblivious (partial),0.8989898989898991
404,sample everything,0.9090909090909092
405,active (partial),0.8686868686868687
406,active (shifted),0.8686868686868687
407,active (full),0.8585858585858587
408,oblivious (partial),0.8787878787878789
409,sample everything,0.8787878787878789
410,active (partial),0.8787878787878789
411,active (shifted),0.888888888888889
412,active (full),0.8787878787878789
413,oblivious (partial),0.9090909090909092
