,Method,$\widehat{\beta}$
191,sample everything,0.8989898989898991
192,active (partial),0.8484848484848485
193,active (shifted),0.98989898989899
194,active (full),0.8989898989898991
195,active (full+cocob),0.8787878787878789
196,oblivious (partial),0.8989898989898991
197,sample everything,0.8282828282828284
198,active (partial),0.9191919191919192
199,active (shifted),0.9595959595959597
200,active (full),0.9090909090909092
201,active (full+cocob),0.8383838383838385
202,oblivious (partial),0.8989898989898991
203,sample everything,0.8989898989898991
204,active (partial),0.8989898989898991
205,active (shifted),0.98989898989899
206,active (full),0.8787878787878789
207,active (full+cocob),0.8989898989898991
208,oblivious (partial),0.9090909090909092
209,sample everything,0.8989898989898991
210,active (partial),0.8989898989898991
211,active (shifted),0.9494949494949496
212,active (full),0.888888888888889
213,active (full+cocob),0.8787878787878789
214,oblivious (partial),0.8989898989898991
215,sample everything,0.9090909090909092
216,active (partial),0.8686868686868687
217,active (shifted),0.9797979797979799
218,active (full),0.8989898989898991
219,active (full+cocob),0.9090909090909092
220,oblivious (partial),0.9292929292929294
221,sample everything,0.8989898989898991
222,active (partial),0.8585858585858587
223,active (shifted),0.9595959595959597
224,active (full),0.8787878787878789
225,active (full+cocob),0.888888888888889
226,oblivious (partial),0.8686868686868687
227,sample everything,0.8585858585858587
228,active (partial),0.8787878787878789
229,active (shifted),0.9797979797979799
230,active (full),0.8383838383838385
231,active (full+cocob),0.888888888888889
232,oblivious (partial),0.8686868686868687
233,sample everything,0.888888888888889
234,active (partial),0.9090909090909092
235,active (shifted),0.9696969696969697
236,active (full),0.9090909090909092
237,active (full+cocob),0.9090909090909092
238,oblivious (partial),0.8989898989898991
239,sample everything,0.8989898989898991
240,active (partial),0.8181818181818182
241,active (shifted),1.0
242,active (full),0.8686868686868687
243,active (full+cocob),0.8484848484848485
244,oblivious (partial),0.8686868686868687
245,sample everything,0.8585858585858587
246,active (partial),0.8686868686868687
247,active (shifted),1.0
248,active (full),0.8989898989898991
249,active (full+cocob),0.9090909090909092
250,oblivious (partial),0.8989898989898991
251,sample everything,0.9090909090909092
252,active (partial),0.888888888888889
253,active (shifted),0.9494949494949496
254,active (full),0.888888888888889
255,active (full+cocob),0.9090909090909092
256,oblivious (partial),0.8989898989898991
257,sample everything,0.9191919191919192
258,active (partial),0.8787878787878789
259,active (shifted),0.9797979797979799
260,active (full),0.8686868686868687
261,active (full+cocob),0.8080808080808082
262,oblivious (partial),0.9090909090909092
263,sample everything,0.8484848484848485
264,active (partial),0.8787878787878789
265,active (shifted),1.0
266,active (full),0.888888888888889
267,active (full+cocob),0.888888888888889
268,oblivious (partial),0.888888888888889
269,sample everything,0.8989898989898991
270,active (partial),0.8585858585858587
271,active (shifted),0.9797979797979799
272,active (full),0.8989898989898991
273,active (full+cocob),0.888888888888889
274,oblivious (partial),0.8787878787878789
275,sample everything,0.888888888888889
276,active (partial),0.8686868686868687
277,active (shifted),0.7474747474747475
278,active (full),0.888888888888889
279,active (full+cocob),0.8787878787878789
280,oblivious (partial),0.8585858585858587
281,sample everything,0.888888888888889
282,active (partial),0.888888888888889
283,active (shifted),0.98989898989899
284,active (full),0.8787878787878789
285,active (full+cocob),0.888888888888889
286,oblivious (partial),0.8989898989898991
287,sample everything,0.888888888888889
288,active (partial),0.9090909090909092
289,active (shifted),1.0
290,active (full),0.8989898989898991
291,active (full+cocob),0.8686868686868687
292,oblivious (partial),0.8686868686868687
293,sample everything,0.8686868686868687
294,active (partial),0.8686868686868687
295,active (shifted),0.98989898989899
296,active (full),0.8989898989898991
297,active (full+cocob),0.8989898989898991
298,oblivious (partial),0.8989898989898991
299,sample everything,0.8989898989898991
300,active (partial),0.8787878787878789
301,active (shifted),1.0
302,active (full),0.8989898989898991
303,active (full+cocob),0.8989898989898991
304,oblivious (partial),0.8989898989898991
305,sample everything,0.9090909090909092
306,active (partial),0.888888888888889
307,active (shifted),0.9595959595959597
308,active (full),0.8787878787878789
309,active (full+cocob),0.8989898989898991
310,oblivious (partial),0.8989898989898991
311,sample everything,0.8989898989898991
312,active (partial),0.8585858585858587
313,active (shifted),0.98989898989899
314,active (full),0.888888888888889
315,active (full+cocob),0.9090909090909092
316,oblivious (partial),0.888888888888889
317,sample everything,0.8989898989898991
318,active (partial),0.888888888888889
319,active (shifted),0.98989898989899
320,active (full),0.8989898989898991
321,active (full+cocob),0.9090909090909092
322,oblivious (partial),0.8989898989898991
323,sample everything,0.8787878787878789
324,active (partial),0.888888888888889
325,active (shifted),0.9696969696969697
326,active (full),0.888888888888889
327,active (full+cocob),0.8787878787878789
328,oblivious (partial),0.8585858585858587
329,sample everything,0.8787878787878789
330,active (partial),0.8989898989898991
331,active (shifted),0.9797979797979799
332,active (full),0.8787878787878789
333,active (full+cocob),0.8686868686868687
334,oblivious (partial),0.888888888888889
335,sample everything,0.888888888888889
336,active (partial),0.8989898989898991
337,active (shifted),0.9191919191919192
338,active (full),0.9090909090909092
339,active (full+cocob),0.8989898989898991
340,oblivious (partial),0.8989898989898991
341,sample everything,0.9090909090909092
342,active (partial),0.8686868686868687
343,active (shifted),0.9191919191919192
344,active (full),0.8686868686868687
345,active (full+cocob),0.888888888888889
346,oblivious (partial),0.8585858585858587
347,sample everything,0.8686868686868687
348,active (partial),0.8686868686868687
349,active (shifted),0.98989898989899
350,active (full),0.888888888888889
351,active (full+cocob),0.8787878787878789
352,oblivious (partial),0.8787878787878789
353,sample everything,0.8989898989898991
354,active (partial),0.8989898989898991
355,active (shifted),0.9696969696969697
356,active (full),0.8484848484848485
357,active (full+cocob),0.8585858585858587
358,oblivious (partial),0.888888888888889
359,sample everything,0.888888888888889
360,active (partial),0.9090909090909092
361,active (shifted),0.9797979797979799
362,active (full),0.9090909090909092
363,active (full+cocob),0.8989898989898991
364,oblivious (partial),0.8686868686868687
365,sample everything,0.8686868686868687
366,active (partial),0.9292929292929294
367,active (shifted),0.8989898989898991
368,active (full),0.9090909090909092
369,active (full+cocob),0.8989898989898991
370,oblivious (partial),0.8686868686868687
371,sample everything,0.8787878787878789
372,active (partial),0.8787878787878789
373,active (shifted),0.98989898989899
374,active (full),0.8484848484848485
375,active (full+cocob),0.8484848484848485
376,oblivious (partial),0.8989898989898991
377,sample everything,0.7373737373737375
378,active (partial),0.8484848484848485
379,active (shifted),0.9393939393939394
380,active (full),0.888888888888889
381,active (full+cocob),0.888888888888889
382,oblivious (partial),0.9090909090909092
383,sample everything,0.9090909090909092
384,active (partial),0.8484848484848485
385,active (shifted),0.9595959595959597
386,active (full),0.888888888888889
387,active (full+cocob),0.888888888888889
388,oblivious (partial),0.8989898989898991
389,sample everything,0.8989898989898991
390,active (partial),0.8484848484848485
391,active (shifted),0.9494949494949496
392,active (full),0.8383838383838385
393,active (full+cocob),0.8282828282828284
394,oblivious (partial),0.8989898989898991
395,sample everything,0.8686868686868687
396,active (partial),0.888888888888889
397,active (shifted),0.9494949494949496
398,active (full),0.9090909090909092
399,active (full+cocob),0.8787878787878789
400,oblivious (partial),0.9090909090909092
401,sample everything,0.9191919191919192
402,active (partial),0.8989898989898991
403,active (shifted),0.9494949494949496
404,active (full),0.9090909090909092
405,active (full+cocob),0.8989898989898991
406,oblivious (partial),0.8989898989898991
407,sample everything,0.888888888888889
408,active (partial),0.8686868686868687
409,active (shifted),1.0
410,active (full),0.9191919191919192
411,active (full+cocob),0.9090909090909092
412,oblivious (partial),0.9191919191919192
413,sample everything,0.8585858585858587
414,active (partial),0.888888888888889
415,active (shifted),1.0
416,active (full),0.9090909090909092
417,active (full+cocob),0.8787878787878789
418,oblivious (partial),0.8989898989898991
419,sample everything,0.8585858585858587
420,active (partial),0.888888888888889
421,active (shifted),0.9696969696969697
422,active (full),0.888888888888889
423,active (full+cocob),0.888888888888889
424,oblivious (partial),0.888888888888889
425,sample everything,0.9191919191919192
426,active (partial),0.9090909090909092
427,active (shifted),0.8484848484848485
428,active (full),0.8484848484848485
429,active (full+cocob),0.8484848484848485
430,oblivious (partial),0.8585858585858587
431,sample everything,0.888888888888889
432,active (partial),0.8787878787878789
433,active (shifted),0.9696969696969697
434,active (full),0.9090909090909092
435,active (full+cocob),0.8989898989898991
436,oblivious (partial),0.9191919191919192
437,sample everything,0.888888888888889
438,active (partial),0.8989898989898991
439,active (shifted),0.9191919191919192
440,active (full),0.8989898989898991
441,active (full+cocob),0.9090909090909092
442,oblivious (partial),0.8787878787878789
443,sample everything,0.8686868686868687
444,active (partial),0.8989898989898991
445,active (shifted),0.9696969696969697
446,active (full),0.8989898989898991
447,active (full+cocob),0.888888888888889
448,oblivious (partial),0.8989898989898991
449,sample everything,0.8989898989898991
450,active (partial),0.8989898989898991
451,active (shifted),0.9595959595959597
452,active (full),0.8787878787878789
453,active (full+cocob),0.888888888888889
454,oblivious (partial),0.9191919191919192
455,sample everything,0.9090909090909092
456,active (partial),0.9090909090909092
457,active (shifted),1.0
458,active (full),0.8989898989898991
459,active (full+cocob),0.8686868686868687
460,oblivious (partial),0.888888888888889
461,sample everything,0.888888888888889
462,active (partial),0.8787878787878789
463,active (shifted),0.888888888888889
464,active (full),0.8686868686868687
465,active (full+cocob),0.888888888888889
466,oblivious (partial),0.8787878787878789
467,sample everything,0.888888888888889
468,active (partial),0.8282828282828284
469,active (shifted),0.9494949494949496
470,active (full),0.8787878787878789
471,active (full+cocob),0.8787878787878789
472,oblivious (partial),0.888888888888889
473,sample everything,0.9090909090909092
474,active (partial),0.9090909090909092
475,active (shifted),0.9696969696969697
476,active (full),0.8989898989898991
477,active (full+cocob),0.888888888888889
478,oblivious (partial),0.8787878787878789
479,sample everything,0.888888888888889
480,active (partial),0.8989898989898991
481,active (shifted),1.0
482,active (full),0.9090909090909092
483,active (full+cocob),0.8282828282828284
484,oblivious (partial),0.9090909090909092
485,sample everything,0.8989898989898991
486,active (partial),0.8585858585858587
487,active (shifted),0.9393939393939394
488,active (full),0.888888888888889
489,active (full+cocob),0.8686868686868687
490,oblivious (partial),0.8686868686868687
491,sample everything,0.8787878787878789
492,active (partial),0.8686868686868687
493,active (shifted),0.9696969696969697
494,active (full),0.8484848484848485
495,active (full+cocob),0.8989898989898991
496,oblivious (partial),0.9191919191919192
497,sample everything,0.8989898989898991
498,active (partial),0.9090909090909092
499,active (shifted),0.98989898989899
500,active (full),0.8989898989898991
501,active (full+cocob),0.9292929292929294
502,oblivious (partial),0.9090909090909092
503,sample everything,0.888888888888889
504,active (partial),0.9191919191919192
505,active (shifted),0.98989898989899
506,active (full),0.8989898989898991
507,active (full+cocob),0.888888888888889
508,oblivious (partial),0.8989898989898991
509,sample everything,0.9090909090909092
510,active (partial),0.8787878787878789
511,active (shifted),0.9393939393939394
512,active (full),0.9090909090909092
513,active (full+cocob),0.8383838383838385
514,oblivious (partial),0.8787878787878789
515,sample everything,0.8787878787878789
516,active (partial),0.888888888888889
517,active (shifted),0.9393939393939394
518,active (full),0.8383838383838385
519,active (full+cocob),0.8686868686868687
520,oblivious (partial),0.888888888888889
521,sample everything,0.888888888888889
522,active (partial),0.8686868686868687
523,active (shifted),1.0
524,active (full),0.8989898989898991
525,active (full+cocob),0.8585858585858587
526,oblivious (partial),0.8686868686868687
527,sample everything,0.888888888888889
528,active (partial),0.8787878787878789
529,active (shifted),0.9494949494949496
530,active (full),0.888888888888889
531,active (full+cocob),0.8383838383838385
532,oblivious (partial),0.888888888888889
533,sample everything,0.9090909090909092
534,active (partial),0.888888888888889
535,active (shifted),0.98989898989899
536,active (full),0.8686868686868687
537,active (full+cocob),0.8989898989898991
538,oblivious (partial),0.8787878787878789
539,sample everything,0.888888888888889
540,active (partial),0.8686868686868687
541,active (shifted),0.9595959595959597
542,active (full),0.8989898989898991
543,active (full+cocob),0.888888888888889
544,oblivious (partial),0.888888888888889
545,sample everything,0.9090909090909092
546,active (partial),0.8989898989898991
547,active (shifted),1.0
548,active (full),0.9090909090909092
549,active (full+cocob),0.8787878787878789
550,oblivious (partial),0.888888888888889
551,sample everything,0.8080808080808082
552,active (partial),0.8686868686868687
553,active (shifted),0.9696969696969697
554,active (full),0.8787878787878789
555,active (full+cocob),0.8585858585858587
556,oblivious (partial),0.8989898989898991
557,sample everything,0.9090909090909092
558,active (partial),0.8585858585858587
559,active (shifted),0.9797979797979799
560,active (full),0.8585858585858587
561,active (full+cocob),0.8989898989898991
562,oblivious (partial),0.8787878787878789
563,sample everything,0.8686868686868687
564,active (partial),0.8686868686868687
565,active (shifted),0.9696969696969697
566,active (full),0.8282828282828284
567,active (full+cocob),0.8787878787878789
568,oblivious (partial),0.888888888888889
569,sample everything,0.8989898989898991
570,active (partial),0.888888888888889
571,active (shifted),0.8989898989898991
572,active (full),0.9090909090909092
573,active (full+cocob),0.8585858585858587
574,oblivious (partial),0.8686868686868687
575,sample everything,0.8787878787878789
576,active (partial),0.888888888888889
577,active (shifted),0.5757575757575758
578,active (full),0.8787878787878789
579,active (full+cocob),0.8989898989898991
580,oblivious (partial),0.9090909090909092
581,sample everything,0.888888888888889
582,active (partial),0.8787878787878789
583,active (shifted),1.0
584,active (full),0.9090909090909092
585,active (full+cocob),0.8585858585858587
586,oblivious (partial),0.8686868686868687
587,sample everything,0.9090909090909092
588,active (partial),0.9090909090909092
589,active (shifted),0.9292929292929294
590,active (full),0.8989898989898991
591,active (full+cocob),0.888888888888889
592,oblivious (partial),0.9191919191919192
593,sample everything,0.888888888888889
594,active (partial),0.8787878787878789
595,active (shifted),1.0
596,active (full),0.8787878787878789
597,active (full+cocob),0.8989898989898991
598,oblivious (partial),0.888888888888889
599,sample everything,0.8787878787878789
