,index,Method,$\widehat{\beta}$
164,2,active (shifted),0.8282828282828284
165,3,active (full),0.8686868686868687
166,4,sample everything,0.8282828282828284
167,5,oblivious (partial),0.8686868686868687
168,0,active (partial),0.8686868686868687
169,1,active (partial+cons_cv),0.8787878787878789
170,2,active (shifted),0.888888888888889
171,3,active (full),0.8686868686868687
172,4,sample everything,0.9090909090909092
173,5,oblivious (partial),0.8787878787878789
174,0,active (partial),0.8787878787878789
175,1,active (partial+cons_cv),0.8787878787878789
176,2,active (shifted),0.8989898989898991
177,3,active (full),0.8686868686868687
178,4,sample everything,0.9191919191919192
179,5,oblivious (partial),0.8787878787878789
180,0,active (partial),0.8686868686868687
181,1,active (partial+cons_cv),0.8686868686868687
182,2,active (shifted),0.8787878787878789
183,3,active (full),0.8686868686868687
184,4,sample everything,0.8989898989898991
185,5,oblivious (partial),0.8686868686868687
186,0,active (partial),0.8686868686868687
187,1,active (partial+cons_cv),0.8585858585858587
188,2,active (shifted),0.8585858585858587
189,3,active (full),0.8686868686868687
190,4,sample everything,0.8686868686868687
191,5,oblivious (partial),0.8787878787878789
192,0,active (partial),0.8787878787878789
193,1,active (partial+cons_cv),0.8585858585858587
194,2,active (shifted),0.8282828282828284
195,3,active (full),0.8686868686868687
196,4,sample everything,0.8282828282828284
197,5,oblivious (partial),0.8989898989898991
198,0,active (partial),0.8686868686868687
199,1,active (partial+cons_cv),0.8686868686868687
200,2,active (shifted),0.8787878787878789
201,3,active (full),0.8686868686868687
202,4,sample everything,0.8989898989898991
203,5,oblivious (partial),0.8484848484848485
204,0,active (partial),0.8787878787878789
205,1,active (partial+cons_cv),0.888888888888889
206,2,active (shifted),0.888888888888889
207,3,active (full),0.8787878787878789
208,4,sample everything,0.8989898989898991
209,5,oblivious (partial),0.8787878787878789
210,0,active (partial),0.8686868686868687
211,1,active (partial+cons_cv),0.8787878787878789
212,2,active (shifted),0.8787878787878789
213,3,active (full),0.8686868686868687
214,4,sample everything,0.9090909090909092
215,5,oblivious (partial),0.8686868686868687
216,0,active (partial),0.8686868686868687
217,1,active (partial+cons_cv),0.8686868686868687
218,2,active (shifted),0.8787878787878789
219,3,active (full),0.8686868686868687
220,4,sample everything,0.8989898989898991
221,5,oblivious (partial),0.8686868686868687
222,0,active (partial),0.8585858585858587
223,1,active (partial+cons_cv),0.8484848484848485
224,2,active (shifted),0.8585858585858587
225,3,active (full),0.8585858585858587
226,4,sample everything,0.8585858585858587
227,5,oblivious (partial),0.8484848484848485
228,0,active (partial),0.8686868686868687
229,1,active (partial+cons_cv),0.8686868686868687
230,2,active (shifted),0.8686868686868687
231,3,active (full),0.8686868686868687
232,4,sample everything,0.888888888888889
233,5,oblivious (partial),0.8282828282828284
234,0,active (partial),0.8787878787878789
235,1,active (partial+cons_cv),0.8787878787878789
236,2,active (shifted),0.888888888888889
237,3,active (full),0.8787878787878789
238,4,sample everything,0.8989898989898991
239,5,oblivious (partial),0.8787878787878789
240,0,active (partial),0.8484848484848485
241,1,active (partial+cons_cv),0.8383838383838385
242,2,active (shifted),0.8383838383838385
243,3,active (full),0.8383838383838385
244,4,sample everything,0.8585858585858587
245,5,oblivious (partial),0.8787878787878789
246,0,active (partial),0.8787878787878789
247,1,active (partial+cons_cv),0.888888888888889
248,2,active (shifted),0.888888888888889
249,3,active (full),0.8787878787878789
250,4,sample everything,0.9090909090909092
251,5,oblivious (partial),0.8686868686868687
252,0,active (partial),0.8686868686868687
253,1,active (partial+cons_cv),0.8686868686868687
254,2,active (shifted),0.888888888888889
255,3,active (full),0.8686868686868687
256,4,sample everything,0.9191919191919192
257,5,oblivious (partial),0.8686868686868687
258,0,active (partial),0.8686868686868687
259,1,active (partial+cons_cv),0.8484848484848485
260,2,active (shifted),0.8484848484848485
261,3,active (full),0.8686868686868687
262,4,sample everything,0.8484848484848485
263,5,oblivious (partial),0.8585858585858587
264,0,active (partial),0.8686868686868687
265,1,active (partial+cons_cv),0.8585858585858587
266,2,active (shifted),0.8787878787878789
267,3,active (full),0.8686868686868687
268,4,sample everything,0.8989898989898991
269,5,oblivious (partial),0.8787878787878789
270,0,active (partial),0.888888888888889
271,1,active (partial+cons_cv),0.888888888888889
272,2,active (shifted),0.888888888888889
273,3,active (full),0.8787878787878789
274,4,sample everything,0.888888888888889
275,5,oblivious (partial),0.8484848484848485
276,0,active (partial),0.8686868686868687
277,1,active (partial+cons_cv),0.8686868686868687
278,2,active (shifted),0.8787878787878789
279,3,active (full),0.8585858585858587
280,4,sample everything,0.888888888888889
281,5,oblivious (partial),0.8686868686868687
282,0,active (partial),0.8484848484848485
283,1,active (partial+cons_cv),0.8484848484848485
284,2,active (shifted),0.8585858585858587
285,3,active (full),0.8484848484848485
286,4,sample everything,0.888888888888889
287,5,oblivious (partial),0.8686868686868687
288,0,active (partial),0.8585858585858587
289,1,active (partial+cons_cv),0.8484848484848485
290,2,active (shifted),0.8484848484848485
291,3,active (full),0.8484848484848485
292,4,sample everything,0.8686868686868687
293,5,oblivious (partial),0.8484848484848485
294,0,active (partial),0.888888888888889
295,1,active (partial+cons_cv),0.8787878787878789
296,2,active (shifted),0.888888888888889
297,3,active (full),0.888888888888889
298,4,sample everything,0.8989898989898991
299,5,oblivious (partial),0.8686868686868687
300,0,active (partial),0.8787878787878789
301,1,active (partial+cons_cv),0.8787878787878789
302,2,active (shifted),0.8787878787878789
303,3,active (full),0.8787878787878789
304,4,sample everything,0.8989898989898991
305,5,oblivious (partial),0.8686868686868687
306,0,active (partial),0.8585858585858587
307,1,active (partial+cons_cv),0.8686868686868687
308,2,active (shifted),0.8686868686868687
309,3,active (full),0.8585858585858587
310,4,sample everything,0.9090909090909092
311,5,oblivious (partial),0.8585858585858587
312,0,active (partial),0.8686868686868687
313,1,active (partial+cons_cv),0.8787878787878789
314,2,active (shifted),0.8787878787878789
315,3,active (full),0.8686868686868687
316,4,sample everything,0.8989898989898991
317,5,oblivious (partial),0.8989898989898991
318,0,active (partial),0.8686868686868687
319,1,active (partial+cons_cv),0.8686868686868687
320,2,active (shifted),0.8686868686868687
321,3,active (full),0.8585858585858587
322,4,sample everything,0.8787878787878789
323,5,oblivious (partial),0.8686868686868687
324,0,active (partial),0.8585858585858587
325,1,active (partial+cons_cv),0.8787878787878789
326,2,active (shifted),0.8787878787878789
327,3,active (full),0.8585858585858587
328,4,sample everything,0.888888888888889
329,5,oblivious (partial),0.8686868686868687
330,0,active (partial),0.8585858585858587
331,1,active (partial+cons_cv),0.8686868686868687
332,2,active (shifted),0.8686868686868687
333,3,active (full),0.8585858585858587
334,4,sample everything,0.8787878787878789
335,5,oblivious (partial),0.8787878787878789
336,0,active (partial),0.8787878787878789
337,1,active (partial+cons_cv),0.888888888888889
338,2,active (shifted),0.888888888888889
339,3,active (full),0.8787878787878789
340,4,sample everything,0.9090909090909092
341,5,oblivious (partial),0.8484848484848485
342,0,active (partial),0.8686868686868687
343,1,active (partial+cons_cv),0.8585858585858587
344,2,active (shifted),0.8585858585858587
345,3,active (full),0.8686868686868687
346,4,sample everything,0.8686868686868687
347,5,oblivious (partial),0.8787878787878789
348,0,active (partial),0.8686868686868687
349,1,active (partial+cons_cv),0.8686868686868687
350,2,active (shifted),0.8686868686868687
351,3,active (full),0.8686868686868687
352,4,sample everything,0.888888888888889
353,5,oblivious (partial),0.8686868686868687
354,0,active (partial),0.8585858585858587
355,1,active (partial+cons_cv),0.8585858585858587
356,2,active (shifted),0.8686868686868687
357,3,active (full),0.8585858585858587
358,4,sample everything,0.8989898989898991
359,5,oblivious (partial),0.8787878787878789
360,0,active (partial),0.8787878787878789
361,1,active (partial+cons_cv),0.8686868686868687
362,2,active (shifted),0.8686868686868687
363,3,active (full),0.8787878787878789
364,4,sample everything,0.8686868686868687
365,5,oblivious (partial),0.888888888888889
366,0,active (partial),0.8585858585858587
367,1,active (partial+cons_cv),0.8585858585858587
368,2,active (shifted),0.8585858585858587
369,3,active (full),0.8585858585858587
370,4,sample everything,0.8787878787878789
371,5,oblivious (partial),0.8787878787878789
372,0,active (partial),0.888888888888889
373,1,active (partial+cons_cv),0.888888888888889
374,2,active (shifted),0.888888888888889
375,3,active (full),0.888888888888889
376,4,sample everything,0.9090909090909092
377,5,oblivious (partial),0.8787878787878789
378,0,active (partial),0.8585858585858587
379,1,active (partial+cons_cv),0.8383838383838385
380,2,active (shifted),0.7373737373737375
381,3,active (full),0.8484848484848485
382,4,sample everything,0.7373737373737375
383,5,oblivious (partial),0.8787878787878789
384,0,active (partial),0.8686868686868687
385,1,active (partial+cons_cv),0.8686868686868687
386,2,active (shifted),0.8787878787878789
387,3,active (full),0.8686868686868687
388,4,sample everything,0.8989898989898991
389,5,oblivious (partial),0.8585858585858587
390,0,active (partial),0.8686868686868687
391,1,active (partial+cons_cv),0.8585858585858587
392,2,active (shifted),0.8686868686868687
393,3,active (full),0.8686868686868687
394,4,sample everything,0.8686868686868687
395,5,oblivious (partial),0.8787878787878789
396,0,active (partial),0.8787878787878789
397,1,active (partial+cons_cv),0.888888888888889
398,2,active (shifted),0.888888888888889
399,3,active (full),0.8787878787878789
400,4,sample everything,0.9191919191919192
401,5,oblivious (partial),0.888888888888889
402,0,active (partial),0.888888888888889
403,1,active (partial+cons_cv),0.8787878787878789
404,2,active (shifted),0.888888888888889
405,3,active (full),0.888888888888889
406,4,sample everything,0.888888888888889
407,5,oblivious (partial),0.8686868686868687
408,0,active (partial),0.8686868686868687
409,1,active (partial+cons_cv),0.8686868686868687
410,2,active (shifted),0.8585858585858587
411,3,active (full),0.8686868686868687
412,4,sample everything,0.8585858585858587
413,5,oblivious (partial),0.8787878787878789
414,0,active (partial),0.8787878787878789
415,1,active (partial+cons_cv),0.8686868686868687
416,2,active (shifted),0.8585858585858587
417,3,active (full),0.8787878787878789
418,4,sample everything,0.8585858585858587
419,5,oblivious (partial),0.888888888888889
420,0,active (partial),0.8686868686868687
421,1,active (partial+cons_cv),0.888888888888889
422,2,active (shifted),0.888888888888889
423,3,active (full),0.8686868686868687
424,4,sample everything,0.9191919191919192
425,5,oblivious (partial),0.8585858585858587
426,0,active (partial),0.8484848484848485
427,1,active (partial+cons_cv),0.8484848484848485
428,2,active (shifted),0.8585858585858587
429,3,active (full),0.8484848484848485
430,4,sample everything,0.888888888888889
431,5,oblivious (partial),0.888888888888889
432,0,active (partial),0.8686868686868687
433,1,active (partial+cons_cv),0.8686868686868687
434,2,active (shifted),0.8686868686868687
435,3,active (full),0.8686868686868687
436,4,sample everything,0.888888888888889
437,5,oblivious (partial),0.8484848484848485
438,0,active (partial),0.8686868686868687
439,1,active (partial+cons_cv),0.8686868686868687
440,2,active (shifted),0.8686868686868687
441,3,active (full),0.8686868686868687
442,4,sample everything,0.8686868686868687
443,5,oblivious (partial),0.8686868686868687
444,0,active (partial),0.8686868686868687
445,1,active (partial+cons_cv),0.8787878787878789
446,2,active (shifted),0.888888888888889
447,3,active (full),0.8686868686868687
448,4,sample everything,0.8989898989898991
449,5,oblivious (partial),0.8686868686868687
450,0,active (partial),0.8686868686868687
451,1,active (partial+cons_cv),0.8686868686868687
452,2,active (shifted),0.888888888888889
453,3,active (full),0.8686868686868687
454,4,sample everything,0.9090909090909092
455,5,oblivious (partial),0.8787878787878789
456,0,active (partial),0.8686868686868687
457,1,active (partial+cons_cv),0.8686868686868687
458,2,active (shifted),0.8787878787878789
459,3,active (full),0.8585858585858587
460,4,sample everything,0.888888888888889
461,5,oblivious (partial),0.8787878787878789
462,0,active (partial),0.8686868686868687
463,1,active (partial+cons_cv),0.8686868686868687
464,2,active (shifted),0.8686868686868687
465,3,active (full),0.8686868686868687
466,4,sample everything,0.888888888888889
467,5,oblivious (partial),0.8686868686868687
468,0,active (partial),0.8686868686868687
469,1,active (partial+cons_cv),0.8686868686868687
470,2,active (shifted),0.888888888888889
471,3,active (full),0.8686868686868687
472,4,sample everything,0.9090909090909092
473,5,oblivious (partial),0.8787878787878789
474,0,active (partial),0.8585858585858587
