,Method,$\widehat{\beta}$
196,active (shifted),0.7777777777777778
197,active (full),0.7777777777777778
198,oblivious (partial),0.797979797979798
199,sample everything,0.7777777777777778
200,active (partial),0.7676767676767677
201,active (shifted),0.787878787878788
202,active (full),0.7676767676767677
203,oblivious (partial),0.797979797979798
204,sample everything,0.8282828282828284
205,active (partial),0.797979797979798
206,active (shifted),0.8080808080808082
207,active (full),0.787878787878788
208,oblivious (partial),0.8181818181818182
209,sample everything,0.8484848484848485
210,active (partial),0.7676767676767677
211,active (shifted),0.7777777777777778
212,active (full),0.7676767676767677
213,oblivious (partial),0.787878787878788
214,sample everything,0.797979797979798
215,active (partial),0.7676767676767677
216,active (shifted),0.7777777777777778
217,active (full),0.7676767676767677
218,oblivious (partial),0.787878787878788
219,sample everything,0.797979797979798
220,active (partial),0.7777777777777778
221,active (shifted),0.7777777777777778
222,active (full),0.7676767676767677
223,oblivious (partial),0.797979797979798
224,sample everything,0.797979797979798
225,active (partial),0.787878787878788
226,active (shifted),0.797979797979798
227,active (full),0.7777777777777778
228,oblivious (partial),0.797979797979798
229,sample everything,0.8282828282828284
230,active (partial),0.7676767676767677
231,active (shifted),0.7777777777777778
232,active (full),0.7676767676767677
233,oblivious (partial),0.797979797979798
234,sample everything,0.787878787878788
235,active (partial),0.7777777777777778
236,active (shifted),0.787878787878788
237,active (full),0.7777777777777778
238,oblivious (partial),0.8181818181818182
239,sample everything,0.8181818181818182
240,active (partial),0.7777777777777778
241,active (shifted),0.7777777777777778
242,active (full),0.7777777777777778
243,oblivious (partial),0.787878787878788
244,sample everything,0.8080808080808082
245,active (partial),0.7676767676767677
246,active (shifted),0.7777777777777778
247,active (full),0.7676767676767677
248,oblivious (partial),0.787878787878788
249,sample everything,0.7777777777777778
250,active (partial),0.7777777777777778
251,active (shifted),0.7777777777777778
252,active (full),0.7777777777777778
253,oblivious (partial),0.797979797979798
254,sample everything,0.787878787878788
255,active (partial),0.7777777777777778
256,active (shifted),0.787878787878788
257,active (full),0.7676767676767677
258,oblivious (partial),0.7777777777777778
259,sample everything,0.787878787878788
260,active (partial),0.7676767676767677
261,active (shifted),0.7777777777777778
262,active (full),0.7575757575757577
263,oblivious (partial),0.787878787878788
264,sample everything,0.797979797979798
265,active (partial),0.787878787878788
266,active (shifted),0.787878787878788
267,active (full),0.7777777777777778
268,oblivious (partial),0.8080808080808082
269,sample everything,0.787878787878788
270,active (partial),0.7777777777777778
271,active (shifted),0.7777777777777778
272,active (full),0.7777777777777778
273,oblivious (partial),0.797979797979798
274,sample everything,0.7777777777777778
275,active (partial),0.7676767676767677
276,active (shifted),0.7777777777777778
277,active (full),0.7676767676767677
278,oblivious (partial),0.787878787878788
279,sample everything,0.797979797979798
280,active (partial),0.787878787878788
281,active (shifted),0.797979797979798
282,active (full),0.787878787878788
283,oblivious (partial),0.8282828282828284
284,sample everything,0.8383838383838385
285,active (partial),0.7777777777777778
286,active (shifted),0.787878787878788
287,active (full),0.7676767676767677
288,oblivious (partial),0.797979797979798
289,sample everything,0.8080808080808082
290,active (partial),0.7676767676767677
291,active (shifted),0.787878787878788
292,active (full),0.7676767676767677
293,oblivious (partial),0.797979797979798
294,sample everything,0.797979797979798
295,active (partial),0.7575757575757577
296,active (shifted),0.7777777777777778
297,active (full),0.7575757575757577
298,oblivious (partial),0.787878787878788
299,sample everything,0.797979797979798
300,active (partial),0.7777777777777778
301,active (shifted),0.7171717171717172
302,active (full),0.7777777777777778
303,oblivious (partial),0.787878787878788
304,sample everything,0.7171717171717172
305,active (partial),0.7676767676767677
306,active (shifted),0.787878787878788
307,active (full),0.7676767676767677
308,oblivious (partial),0.797979797979798
309,sample everything,0.8484848484848485
310,active (partial),0.7777777777777778
311,active (shifted),0.787878787878788
312,active (full),0.7777777777777778
313,oblivious (partial),0.797979797979798
314,sample everything,0.8080808080808082
315,active (partial),0.7676767676767677
316,active (shifted),0.787878787878788
